source,target,relation,description,source_chunk
Highland Square,Tennyson Street,rivals,Highland Square and Tennyson Street are rival commercial centers,unknown_0
Rick Garcia,Tennyson Street,promotes,Rick Garcia promoted the development of Tennyson Street,unknown_0
Art Walk,Tennyson Street,held_on,Art Walk is held on Tennyson Street,unknown_0
Growth,Berkeley,affects,Growth has affected Berkeley,unknown_0
Property Values,Berkeley,increases,Property Values have increased in Berkeley,unknown_0
Development,Tennyson Street,promotes,Development has promoted Tennyson Street,unknown_0
Commercial Center,Tennyson Street,is,Tennyson Street is a commercial center,unknown_0
Cultural Center,Tennyson Street,is,Tennyson Street is a cultural center,unknown_0
Church of St. Ignatius of Loyola,Society of Jesus,administered_by,The church is administered by the Society of Jesus,unknown_0
Church of St. Ignatius of Loyola,Archdiocese of New York,under_authority_of,The parish is under the authority of the Archdiocese of New York,unknown_0
Church of St. Ignatius of Loyola,St. Ignatius of Loyola,named_after,The church is named after St. Ignatius of Loyola,unknown_0
Church of St. Ignatius of Loyola,Park Avenue,located_on,The church is located on Park Avenue,unknown_0
Church of St. Ignatius of Loyola,Wallace Hall,part_of,The church is part of a Jesuit complex that includes Wallace Hall,unknown_0
Church of St. Ignatius of Loyola,Rectory,adjacent_to,The church is adjacent to the rectory,unknown_0
Church of St. Ignatius of Loyola,St. Ignatius's School,adjacent_to,The church is adjacent to St. Ignatius's School,unknown_0
Church of St. Ignatius of Loyola,Loyola School,adjacent_to,The church is adjacent to Loyola School,unknown_0
Church of St. Ignatius of Loyola,Regis High School,adjacent_to,The church is adjacent to Regis High School,unknown_0
Church of St. Ignatius of Loyola,National Register of Historic Places,listed_in,The church is listed in the National Register of Historic Places,unknown_0
"July 24, 1980",Church of St. Ignatius of Loyola,added_to,"The church was added to the National Register of Historic Places on July 24, 1980",unknown_0
Squire Park,Seattle,located_in,Squire Park is a district in Seattle,unknown_0
Squire Park,Washington,located_in,Squire Park is located in the state of Washington,unknown_0
Squire Park Community Council,Squire Park,governs,The Squire Park Community Council governs Squire Park,unknown_0
First Hill,Squire Park,part_of,Squire Park is part of the First Hill neighborhood,unknown_0
Central District,Squire Park,part_of,Squire Park is part of the Central District neighborhood,unknown_0
Swedish Medical Center,Cherry Hill campus,has,Swedish Medical Center has a campus in Cherry Hill,unknown_0
Seattle University,Squire Park,located_in,Seattle University has part of its campus in Squire Park,unknown_0
Admissions,Seattle University,part_of,Admissions is part of Seattle University,unknown_0
Dormitories,Seattle University,part_of,Dormitories are part of Seattle University,unknown_0
Athletics,Seattle University,part_of,Athletics is part of Seattle University,unknown_0
Hounsfield Heights/Briar Hill,Calgary,located_in,Hounsfield Heights/Briar Hill is a neighbourhood in Calgary,unknown_0
Hounsfield Heights/Briar Hill,Alberta,located_in,Hounsfield Heights/Briar Hill is located in Alberta,unknown_0
Hounsfield Heights/Briar Hill,Canada,located_in,Hounsfield Heights/Briar Hill is located in Canada,unknown_0
Hounsfield Heights/Briar Hill,Hillhurst,adjacent_to,Hounsfield Heights/Briar Hill is adjacent to Hillhurst,unknown_0
Hounsfield Heights/Briar Hill,West Hillhurst,adjacent_to,Hounsfield Heights/Briar Hill is adjacent to West Hillhurst,unknown_0
Hounsfield Heights/Briar Hill,Lions Park C-Train station,contains,Lions Park C-Train station is located within Hounsfield Heights/Briar Hill,unknown_0
Hounsfield Heights/Briar Hill,Escarpment,built_on,Hounsfield Heights/Briar Hill is built on an escarpment,unknown_0
Hounsfield Heights/Briar Hill,Downtown Calgary,views,Hounsfield Heights/Briar Hill offers views of downtown Calgary,unknown_0
Hounsfield Heights/Briar Hill,Rocky Mountains,views,Hounsfield Heights/Briar Hill offers views of the Rocky Mountains,unknown_0
Greenwich Avenue,Greenwich Village,location,Greenwich Avenue is located in Greenwich Village,unknown_0
Greenwich Avenue,Manhattan,location,Greenwich Avenue is located in Manhattan,unknown_0
Greenwich Avenue,New York City,location,Greenwich Avenue is located in New York City,unknown_0
Greenwich Avenue,West Village Park,boundary,Greenwich Avenue is a boundary of West Village Park,unknown_0
West Village Park,7th Avenue,boundary,West Village Park is bounded by 7th Avenue,unknown_0
West Village Park,12th Street,boundary,West Village Park is bounded by 12th Street,unknown_0
Greenwich Avenue,6th Avenue,intersection,Greenwich Avenue intersects with 6th Avenue,unknown_0
Greenwich Avenue,8th Street,intersection,Greenwich Avenue intersects with 8th Street,unknown_0
Greenwich Avenue,8th Avenue,intersection,Greenwich Avenue intersects with 8th Avenue,unknown_0
West Village Park,Construction,event,Construction of West Village Park began in 2016,unknown_0
Tinley Park Station,Tinley Park,located_in,The station is located in Tinley Park,unknown_0
Tinley Park Station,Metra,part_of,The station is part of the Metra commuter rail system,unknown_0
Tinley Park Station,Rock Island District,served_by,The station is served by the Rock Island District line,unknown_0
Tinley Park Station,Illinois,located_in,The station is located in the state of Illinois,unknown_0
LaSalle Street,Tinley Park Station,terminus_of,LaSalle Street is the northern terminus of the line,unknown_0
Parking,Tinley Park Station,available_at,Parking is available at the station,unknown_0
Kyōryū Sentai Zyuranger,Super Sentai,part_of,Kyōryū Sentai Zyuranger is part of the Super Sentai franchise,unknown_0
Kyōryū Sentai Zyuranger,Toei,produced_by,Toei produced Kyōryū Sentai Zyuranger,unknown_0
Kyōryū Sentai Zyuranger,Bandai,produced_by,Bandai produced Kyōryū Sentai Zyuranger,unknown_0
Kyōryū Sentai Zyuranger,TV Asahi,aired_on,Kyōryū Sentai Zyuranger aired on TV Asahi,unknown_0
Kyōryū Sentai Zyuranger,Sixth Ranger,features,Kyōryū Sentai Zyuranger features a regular Sixth Ranger,unknown_0
Kyōryū Sentai Zyuranger,Power Rangers,adapted_into,Kyōryū Sentai Zyuranger was adapted into an installment of Power Rangers,unknown_0
Kyōryū Sentai Zyuranger,Mighty Morphin Power Rangers,footage_used_in,Footage from Kyōryū Sentai Zyuranger was used in Mighty Morphin Power Rangers,unknown_0
Kyōryū Sentai Zyuranger,Galaxy Rangers,title_for_international_distribution,Toei gives Kyōryū Sentai Zyuranger the title Galaxy Rangers for international distribution,unknown_0
GoGo Sentai Boukenger,Toei,production company,Toei produced GoGo Sentai Boukenger,unknown_0
GoGo Sentai Boukenger,Super Sentai series,part of,GoGo Sentai Boukenger is part of the Super Sentai series,unknown_0
GoGo Sentai Boukenger,TV Asahi,broadcast on,GoGo Sentai Boukenger premiered on TV Asahi,unknown_0
GoGo Sentai Boukenger,Power Rangers Operation Overdrive,footage used in,GoGo Sentai Boukenger footage was used in Power Rangers Operation Overdrive,unknown_0
GoGo Sentai Boukenger,Power Rangers Treasure Force,dubbed into,GoGo Sentai Boukenger was dubbed into Korean for Power Rangers Treasure Force,unknown_0
Gosei Sentai Dairanger,Super Sentai franchise,part_of,Gosei Sentai Dairanger is part of the Super Sentai franchise,unknown_0
Gosei Sentai Dairanger,Toei Company,produced_by,Toei Company produced Gosei Sentai Dairanger,unknown_0
Gosei Sentai Dairanger,Kyōryū Sentai Zyuranger,follows,Gosei Sentai Dairanger follows Kyōryū Sentai Zyuranger,unknown_0
Gosei Sentai Dairanger,Tokusatsu,style,Gosei Sentai Dairanger is a tokusatsu series,unknown_0
Gosei Sentai Dairanger,"February 19, 1993",starts_on,"Gosei Sentai Dairanger started broadcasting on February 19, 1993",unknown_0
Gosei Sentai Dairanger,"February 11, 1994",ends_on,"Gosei Sentai Dairanger ended broadcasting on February 11, 1994",unknown_0
Gosei Sentai Dairanger,Star Rangers,also_known_as,Gosei Sentai Dairanger is also known as Star Rangers,unknown_0
Engine Sentai Go-onger,Toei Company,produced_by,Engine Sentai Go-onger was produced by Toei Company,unknown_0
Engine Sentai Go-onger,Super Sentai series,part_of,Engine Sentai Go-onger is part of the Super Sentai series,unknown_0
Engine Sentai Go-onger,Japanese tokusatsu television series,instance_of,Engine Sentai Go-onger is an instance of Japanese tokusatsu television series,unknown_0
"February 17, 2008",Engine Sentai Go-onger,premiered,"Engine Sentai Go-onger premiered on February 17, 2008",unknown_0
"February 8, 2009",Engine Sentai Go-onger,ended,"Engine Sentai Go-onger ended on February 8, 2009",unknown_0
Kamen Rider Kiva,TV Asahi's 2008 Super Hero Time block,aired_with,Kamen Rider Kiva aired with Engine Sentai Go-onger in TV Asahi's 2008 Super Hero Time block,unknown_0
Power Rangers RPM,Engine Sentai Go-onger,based_on,Power Rangers RPM was based on Engine Sentai Go-onger,unknown_0
Power Rangers Engine Force,Power Rangers RPM,dubbed_version,Power Rangers Engine Force is the Korean dubbed version of Power Rangers RPM,unknown_0
"Rushing by at full-throttle mach speed, our slogan is 'go on!'",Engine Sentai Go-onger,catchphrase,"Rushing by at full-throttle mach speed, our slogan is 'go on!' is the catchphrase of Engine Sentai Go-onger",unknown_0
Power Rangers,Saban Entertainment,produced by,Saban Entertainment produced the first Power Rangers series,unknown_0
Power Rangers,BVS Entertainment,produced by,BVS Entertainment produced the Power Rangers series after Saban Entertainment,unknown_0
Power Rangers,SCG Power Rangers,produced by,SCG Power Rangers produces the Power Rangers series today,unknown_0
Power Rangers,Super Sentai,based on,Power Rangers is based on the Japanese tokusatsu series Super Sentai,unknown_0
Power Rangers,Toei Company,produced by,Toei Company produced the Super Sentai series,unknown_0
Power Rangers,Fox Kids,aired on,Power Rangers aired on the Fox Kids programming block,unknown_0
Power Rangers,Bandai,merchandised by,Bandai produced toys and merchandise for Power Rangers,unknown_0
Mighty Morphin Power Rangers,"August 28, 1993",debuted on,"Mighty Morphin Power Rangers debuted on August 28, 1993",unknown_0
Power Rangers,$6 billion,generated,Power Rangers generated over $6 billion in retail sales,unknown_0
Super Sentai,Tokusatsu,style of,Super Sentai is a tokusatsu series,unknown_0
Power Rangers,Superhero,type of,Power Rangers is a superhero franchise,unknown_0
Super Sentai Series,"Toei Co., Ltd.",produced by,"Super Sentai Series is produced by Toei Co., Ltd.",unknown_0
Super Sentai Series,Toei Agency,produced by,Super Sentai Series is produced by Toei Agency,unknown_0
Super Sentai Series,Bandai,produced by,Super Sentai Series is produced by Bandai,unknown_0
Super Sentai Series,TV Asahi,aired by,Super Sentai Series is aired by TV Asahi,unknown_0
Super Sentai Series,Tokusatsu,genre,Super Sentai Series is a part of the Tokusatsu genre,unknown_0
Super Sentai Series,Ultra Series,airs alongside,Super Sentai Series airs alongside Ultra Series in the Super Hero Time programming block,unknown_0
Super Sentai Series,Kamen Rider Series,airs alongside,Super Sentai Series airs alongside Kamen Rider Series in the Super Hero Time programming block,unknown_0
Super Sentai Series,Power Rangers,source material,Power Rangers is based on Super Sentai Series,unknown_0
Unofficial Sentai Akibaranger,Super Sentai Series,based_on,Unofficial Sentai Akibaranger is based on the Super Sentai Series,unknown_0
Unofficial Sentai Akibaranger,Toei Company,produced_by,Unofficial Sentai Akibaranger is produced by Toei Company,unknown_0
Unofficial Sentai Akibaranger,BS Asahi,aired_on,Unofficial Sentai Akibaranger aired on BS Asahi,unknown_0
Unofficial Sentai Akibaranger,Tokyo MX,aired_on,Unofficial Sentai Akibaranger aired on Tokyo MX,unknown_0
Unofficial Sentai Akibaranger,Parody,type_of,Unofficial Sentai Akibaranger is a parody,unknown_0
Unofficial Sentai Akibaranger,Adults,targeted_at,Unofficial Sentai Akibaranger is targeted at adults,unknown_0
Doubutsu Sentai Zyuohger,Super Sentai series,part_of,Doubutsu Sentai Zyuohger is part of the Super Sentai series,unknown_0
Doubutsu Sentai Zyuohger,Toei,produced_by,Doubutsu Sentai Zyuohger was produced by Toei,unknown_0
Doubutsu Sentai Zyuohger,Tokusatsu,genre,Doubutsu Sentai Zyuohger is a Tokusatsu series,unknown_0
Doubutsu Sentai Zyuohger,Junko Kōmura,written_by,Junko Kōmura wrote Doubutsu Sentai Zyuohger,unknown_0
Doubutsu Sentai Zyuohger,Minecraft,inspired_by,Doubutsu Sentai Zyuohger was inspired by Minecraft,unknown_0
Doubutsu Sentai Zyuohger,Cube/Square motif,features,Doubutsu Sentai Zyuohger features a Cube/Square motif,unknown_0
Doubutsu Sentai Zyuohger,Choujuu Sentai Liveman,similar_to,Doubutsu Sentai Zyuohger is similar to Choujuu Sentai Liveman,unknown_0
Doubutsu Sentai Zyuohger,Hyakujuu Sentai Gaoranger,similar_to,Doubutsu Sentai Zyuohger is similar to Hyakujuu Sentai Gaoranger,unknown_0
Doubutsu Sentai Zyuohger,Juken Sentai Gekiranger,similar_to,Doubutsu Sentai Zyuohger is similar to Juken Sentai Gekiranger,unknown_0
Chōriki Sentai Ohranger,Super Sentai franchise,part_of,Chōriki Sentai Ohranger is part of the Super Sentai franchise,unknown_0
Chōriki Sentai Ohranger,Power Rangers Zeo,footage_used_in,Footage from Chōriki Sentai Ohranger was used in Power Rangers Zeo,unknown_0
Power Rangers Zeo,O Rangers,alternative_name,Power Rangers Zeo referred to Chōriki Sentai Ohranger as 'O Rangers',unknown_0
Super Sentai franchise,tokusatsu,related_to,Super Sentai franchise is related to the style of tokusatsu,unknown_0
Kimberly Ann Hart,Power Rangers,part_of,Kimberly Ann Hart is a character in the Power Rangers universe,unknown_0
Kimberly Ann Hart,Amy Jo Johnson,played_by,Amy Jo Johnson played the role of Kimberly Ann Hart,unknown_0
Kimberly Ann Hart,Katherine Hillard,replaced_by,Katherine Hillard replaced Kimberly Ann Hart as the Pink Ranger,unknown_0
Kimberly Ann Hart,Pink Ranger,instance_of,Kimberly Ann Hart was the Pink Ranger,unknown_0
Power Rangers,Mighty Morphin Power Rangers,part_of,Mighty Morphin Power Rangers is a part of the Power Rangers franchise,unknown_0
Kimberly Ann Hart,Zordon,related_to,Kimberly Ann Hart had a relationship with Zordon,unknown_0
Lion's Den,Pablo Trapero,director,Directed the film,unknown_0
Lion's Den,Martina Gusmán,actor,Starred in the film,unknown_0
Lion's Den,Elli Medeiros,actor,Starred in the film,unknown_0
Lion's Den,Rodrigo Santoro,actor,Starred in the film,unknown_0
Lion's Den,2008 Cannes Film Festival,participated,Competed in the festival,unknown_0
Motherhood,Prison System,related_to,Explores the concept of motherhood within the prison system,unknown_0
Prison System,Lion's Den,context,The film is set within the prison system,unknown_0
White Elephant,Pablo Trapero,director,Pablo Trapero directed the film White Elephant,unknown_0
White Elephant,Elefante blanco,alternative title,Elefante blanco is the Spanish title of the film White Elephant,unknown_0
White Elephant,2012 Cannes Film Festival,participated in,The film White Elephant competed in the Un Certain Regard section at the 2012 Cannes Film Festival,unknown_0
2012 Cannes Film Festival,Un Certain Regard,section,Un Certain Regard is a section of the 2012 Cannes Film Festival,unknown_0
Pablo Trapero,film producer,instance_of,Pablo Trapero is a film producer,unknown_0
Pablo Trapero,editor,instance_of,Pablo Trapero is an editor,unknown_0
Pablo Trapero,director,instance_of,Pablo Trapero is a director,unknown_0
Pablo Trapero,Argentina,nationality,Pablo Trapero is from Argentina,unknown_0
Pablo Trapero,El bonaerense,director,Directed the film,unknown_0
Pablo Trapero,El bonaerense,producer,Produced the film,unknown_0
Nicolas Gueilburt,El bonaerense,screenwriter,Co-wrote the screenplay,unknown_0
Ricardo Ragendorfer,El bonaerense,screenwriter,Co-wrote the screenplay,unknown_0
Dodi Shoeuer,El bonaerense,screenwriter,Co-wrote the screenplay,unknown_0
Daniel Valenzuela,El bonaerense,actor,Acted in the film,unknown_0
INCAA,El bonaerense,funder,Partially funded the film,unknown_0
Crane World,Pablo Trapero,director,Pablo Trapero directed the film,unknown_0
Crane World,Lita Stantic,producer,Lita Stantic produced the film,unknown_0
Crane World,Luis Margani,actor,Luis Margani acted in the film,unknown_0
Crane World,Adriana Aizemberg,actress,Adriana Aizemberg acted in the film,unknown_0
Crane World,Daniel Valenzuela,actor,Daniel Valenzuela acted in the film,unknown_0
Pablo Trapero,Lita Stantic,collaborator,Pablo Trapero and Lita Stantic collaborated on the film,unknown_0
Carancho,Pablo Trapero,directed_by,Pablo Trapero directed the film,unknown_0
Carancho,Ricardo Darín,starring,Ricardo Darín starred in the film,unknown_0
Carancho,Martina Gusmán,starring,Martina Gusmán starred in the film,unknown_0
Carancho,Un Certain Regard,entered_into,Carancho was entered into the Un Certain Regard section of the Cannes Film Festival,unknown_0
Carancho,Cannes Film Festival,participated_in,Carancho participated in the Cannes Film Festival,unknown_0
Carancho,Academy Awards,nominated_for,Carancho was nominated for the Best Foreign Language Film at the Academy Awards,unknown_0
Carancho,Best Foreign Language Film,selected_for,Carancho was selected as the Argentine entry for the Best Foreign Language Film at the Academy Awards,unknown_0
Familia rodante,Pablo Trapero,director,Pablo Trapero directed the film,unknown_0
Familia rodante,Argentina,produced_in,The film was produced in Argentina,unknown_0
Familia rodante,comedy drama film,genre,The film belongs to the comedy drama film genre,unknown_0
Familia rodante,Hugo Castro Fau,executive_producer,Hugo Castro Fau was an executive producer of the film,unknown_0
Familia rodante,Martina Gusman,executive_producer,Martina Gusman was an executive producer of the film,unknown_0
Familia rodante,Robert Bevan,producer,Robert Bevan was a producer of the film,unknown_0
Familia rodante,Donald Ranvaud,producer,Donald Ranvaud was a producer of the film,unknown_0
The Clan,Pablo Trapero,director,Pablo Trapero directed The Clan,unknown_0
The Clan,72nd Venice International Film Festival,screened,The Clan was screened at the 72nd Venice International Film Festival,unknown_0
Pablo Trapero,Silver Lion,won,Pablo Trapero won the Silver Lion at the 72nd Venice International Film Festival,unknown_0
The Clan,88th Academy Awards,nominated,The Clan was nominated for Best Foreign Language Film at the 88th Academy Awards,unknown_0
Aleksander Ford,Polish People's Army Film Crew,head,Aleksander Ford was the head of the Polish People's Army Film Crew,unknown_0
Aleksander Ford,Film Polski,director,Aleksander Ford became director of Film Polski,unknown_0
Red Army,Poland,occupation,Red Army occupied Poland,unknown_0
Aleksander Ford,Mosze Lifszyc,birth name,Aleksander Ford was born as Mosze Lifszyc,unknown_0
Aleksander Ford,Kiev,birthplace,Aleksander Ford was born in Kiev,unknown_0
Aleksander Ford,Naples,deathplace,Aleksander Ford died in Naples,unknown_0
7 Days in Havana,Havana,location,set in Havana,unknown_0
7 Days in Havana,film,type,anthology film,unknown_0
7 Days in Havana,anthology,type,anthology film,unknown_0
Julio Medem,7 Days in Havana,director,directed segment,unknown_0
Laurent Cantet,7 Days in Havana,director,directed segment,unknown_0
Juan Carlos Tabío,7 Days in Havana,director,directed segment,unknown_0
Benicio del Toro,7 Days in Havana,actor,acted in segment,unknown_0
Gaspar Noé,7 Days in Havana,director,directed segment,unknown_0
Pablo Trapero,7 Days in Havana,director,directed segment,unknown_0
Elia Suleiman,7 Days in Havana,director,directed segment,unknown_0
Leonardo Padura Fuentes,7 Days in Havana,writer,wrote screenplay,unknown_0
Cuba,7 Days in Havana,location,co-production,unknown_0
Spain,7 Days in Havana,co-production,co-production,unknown_0
France,7 Days in Havana,co-production,co-production,unknown_0
Malaysia,women's magazine,publishes,Malaysia is the country where women's magazines are published,unknown_0
women's magazine,Elle Malaysia,instance_of,Elle Malaysia is an instance of a women's magazine,unknown_0
women's magazine,Women's Health,instance_of,Women's Health is an instance of a women's magazine,unknown_0
Malaysia,Elle Malaysia,publishes,Malaysia is the country where Elle Malaysia is published,unknown_0
Malaysia,Women's Health,publishes,Malaysia is the country where Women's Health is published,unknown_0
women's magazine,Islamic perspective,has,Women's magazines in Malaysia may have an Islamic perspective,unknown_0
Malaysia,Comic magazines,publishes,Malaysia is the country where comic magazines are published,unknown_0
Malaysia,film magazines,publishes,Malaysia is the country where film magazines are published,unknown_0
2000s,women's magazine,exists,Women's magazines existed in Malaysia during the 2000s,unknown_0
1932,women's magazine,first_published,The first women's magazine was published in Malaysia in 1932,unknown_0
2014,Elle Malaysia,first_published,Elle Malaysia was first published in 2014,unknown_0
2015,Women's Health,started,Women's Health was started in 2015,unknown_0
First for Women,Bauer Media Group,publisher,First for Women is published by Bauer Media Group,unknown_0
First for Women,USA,published_in,First for Women is published in the USA,unknown_0
First for Women,Englewood Cliffs,based_in,First for Women is based in Englewood Cliffs,unknown_0
First for Women,New Jersey,located_in,First for Women is located in New Jersey,unknown_0
First for Women,1989,started,First for Women started in 1989,unknown_0
First for Women,2011,circulation_data_available,Circulation data for First for Women is available for 2011,unknown_0
circulation,2011,measured,Circulation of First for Women was measured in 2011,unknown_0
Jane Pratt,Jane,founding editor,Jane Pratt was the founding editor of Jane magazine,unknown_0
Jane Pratt,Sassy Magazine,inspiration,Jane Pratt was inspired by Sassy Magazine when creating Jane,unknown_0
Jane,American,nationality,Jane magazine was an American magazine,unknown_0
Jane,women's magazine,type,Jane magazine was a type of women's magazine,unknown_0
Jane Pratt,Betty,original name,Jane Pratt originally intended to name the magazine Betty,unknown_0
Rabotnitsa,women's journal,is_a,Rabotnitsa is a women's journal,unknown_0
Rabotnitsa,Soviet Union,published_in,Rabotnitsa was published in the Soviet Union,unknown_0
Rabotnitsa,Russia,published_in,Rabotnitsa is published in Russia,unknown_0
Lenin,Rabotnitsa,founded,Lenin was involved in the founding of Rabotnitsa,unknown_0
Women's Day,Rabotnitsa,associated_with,Rabotnitsa was first published on Women's Day,unknown_0
women's journal,women's rights,related_to,women's journals are related to women's rights,unknown_0
Jane Addams,social work,pioneer,Jane Addams was a pioneer in the field of social work,unknown_0
Jane Addams,settlement house,co-founder,"Jane Addams co-founded Hull House, a settlement house in Chicago",unknown_0
Jane Addams,women's suffrage,advocate,Jane Addams advocated for women's suffrage,unknown_0
Jane Addams,world peace,advocate,Jane Addams advocated for world peace,unknown_0
Jane Addams,American pragmatist school of philosophy,member,Jane Addams was a member of the American pragmatist school of philosophy,unknown_0
Jane Addams,ACLU,co-founder,Jane Addams was a co-founder of the ACLU,unknown_0
Jane Addams,Nobel Peace Prize,recipient,Jane Addams was the first American woman to receive the Nobel Peace Prize,unknown_0
Jane Addams,Progressive Era,prominent figure,Jane Addams was a prominent figure in the Progressive Era,unknown_0
Hull House,settlement house,example,Hull House was an example of a settlement house,unknown_0
Chicago,settlement house,location,Hull House was located in Chicago,unknown_0
Theodore Roosevelt,Progressive Era,figure,Theodore Roosevelt was a figure in the Progressive Era,unknown_0
Woodrow Wilson,Progressive Era,figure,Woodrow Wilson was a figure in the Progressive Era,unknown_0
Marianne Schnall,Feminist.com,founder,Marianne Schnall founded the not-for-profit website Feminist.com,unknown_0
Marianne Schnall,Daring to Be Ourselves,author,Marianne Schnall is the author of Daring to Be Ourselves,unknown_0
Marianne Schnall,Cyberfeminism: Networking the Net,contributor,Marianne Schnall contributed to the piece Cyberfeminism: Networking the Net,unknown_0
Marianne Schnall,What Will It Take to Make A Woman President?,author,Marianne Schnall is the author of What Will It Take to Make A Woman President?,unknown_0
Feminism,Marianne Schnall,advocate,Marianne Schnall is a feminist advocate,unknown_0
Feminism,Feminist.com,related,Feminist.com is related to feminism,unknown_0
Feminism,Politics,related,Feminism is related to politics,unknown_0
Feminism,Power,related,Feminism is related to power,unknown_0
Jane Cunningham Croly,Jennie June,pseudonym,Jane Cunningham Croly used the pseudonym Jennie June,unknown_0
Jane Cunningham Croly,Sorosis club,founding,Jane Cunningham Croly founded the Sorosis club,unknown_0
Sorosis club,General Federation of Women's Clubs,expansion,The Sorosis club expanded to become the General Federation of Women's Clubs,unknown_0
Jane Cunningham Croly,General Federation of Women's Clubs,founding,Jane Cunningham Croly founded the General Federation of Women's Clubs,unknown_0
Jane Cunningham Croly,Woman's Press Club of New York City,founding,Jane Cunningham Croly founded the Woman's Press Club of New York City,unknown_0
Nancy Friday,My Secret Garden,author,Nancy Friday is the author of My Secret Garden,unknown_0
My Secret Garden,Women's Sexual Fantasies,topic,My Secret Garden is a book about women's sexual fantasies,unknown_0
Women's Sexual Fantasies,Sexual Fantasies,category,Women's Sexual Fantasies is a category of sexual fantasies,unknown_0
Sexual Fantasies,Transgressive,type,Sexual Fantasies can be transgressive,unknown_0
Nancy Friday,Letters,method,Nancy Friday used letters to collect female sexual fantasies,unknown_0
Nancy Friday,Taped Interviews,method,Nancy Friday used taped interviews to collect female sexual fantasies,unknown_0
Nancy Friday,Personal Interviews,method,Nancy Friday used personal interviews to collect female sexual fantasies,unknown_0
Editor,Novel,objector,The editor objected to Nancy Friday's novel,unknown_0
Be Love,Kodansha,published_by,Be Love is published by Kodansha,unknown_0
Be Love,manga,type_of,Be Love is a type of manga,unknown_0
Be Love,women,targets,Be Love targets women,unknown_0
Be Love,josei manga,type_of,Be Love is a type of josei manga,unknown_0
Be Love,You,similar,Be Love is similar to You,unknown_0
Be Love,Big Comic for Lady,similar,Be Love is similar to Big Comic for Lady,unknown_0
September 1980,Be Love,debut,Be Love debuted in September 1980,unknown_0
2003,Be Love,published_stories,Be Love published stories on everyday life in 2003,unknown_0
stories,everyday life,about,Stories about everyday life were published by Be Love,unknown_0
China,women's magazines,hosts,China has a market for women's magazines,unknown_0
women's magazines,magazine market,part_of,Women's magazines are part of the magazine market,unknown_0
China,magazine market,hosts,China has a magazine market,unknown_0
national titles,women's magazines,includes,National titles include women's magazines,unknown_0
international magazines,women's magazines,includes,International magazines include women's magazines,unknown_0
China,Madame Figaro,hosts,China hosts Madame Figaro,unknown_0
China,Elle,hosts,China hosts Elle,unknown_0
China,Cosmopolitan,hosts,China hosts Cosmopolitan,unknown_0
China,Esquire,hosts,China hosts Esquire,unknown_0
China,CanCam,hosts,China hosts CanCam,unknown_0
Baby Doll,Elia Kazan,director,Elia Kazan directed the film,unknown_0
Baby Doll,Carroll Baker,starring,Carroll Baker starred in the film,unknown_0
Baby Doll,Karl Malden,starring,Karl Malden starred in the film,unknown_0
Baby Doll,Eli Wallach,starring,Eli Wallach starred in the film,unknown_0
Baby Doll,Tennessee Williams,producer,Tennessee Williams produced the film,unknown_0
Arson,Cotton Gin,target,Arson was committed against the cotton gin,unknown_0
Feud,Rural Mississippi,location,The feud took place in rural Mississippi,unknown_0
Seduction,Virgin Bride,target,Seduction was attempted against the virgin bride,unknown_0
Admission,Guilt,result,Admission was a result of guilt,unknown_0
Nicholas Ray,Rebel Without a Cause,directed,Nicholas Ray directed the movie,unknown_0
Nicholas Ray,film director,instance_of,Nicholas Ray is a film director,unknown_0
Rebel Without a Cause,Nicholas Ray,directed_by,Nicholas Ray directed the movie,unknown_0
Nicholas Ray,"August 7, 1911",birth_date,Nicholas Ray was born on this date,unknown_0
Nicholas Ray,"June 16, 1979",death_date,Nicholas Ray died on this date,unknown_0
Elia Kazan,director,instance_of,Elia Kazan was a director,unknown_0
Elia Kazan,producer,instance_of,Elia Kazan was a producer,unknown_0
Elia Kazan,writer,instance_of,Elia Kazan was a writer,unknown_0
Elia Kazan,actor,instance_of,Elia Kazan was an actor,unknown_0
Elia Kazan,Greek-American,instance_of,Elia Kazan was a Greek-American,unknown_0
The New York Times,Elia Kazan,described_as,The New York Times described Elia Kazan as one of the most honored and influential directors in Broadway and Hollywood history,unknown_0
Gregory Evans,Art & Gadg,author,created Art & Gadg,unknown_0
Art & Gadg,Arthur Miller,subject,features Arthur Miller as a subject,unknown_0
Art & Gadg,Elia Kazan,subject,features Elia Kazan as a subject,unknown_0
Art & Gadg,BBC Radio 4,broadcast,was first transmitted on BBC Radio 4,unknown_0
Art & Gadg,Marc Beeby,director,was directed by Marc Beeby,unknown_0
Arthur Miller,Elia Kazan,related_to,has a complex relationship with Elia Kazan,unknown_0
A Letter to Elia,Elia Kazan,subject,documentary film about Elia Kazan's life,unknown_0
A Letter to Elia,Kent Jones,director,Kent Jones directed the documentary film,unknown_0
A Letter to Elia,Martin Scorsese,influenced_by,Martin Scorsese was influenced by Elia Kazan,unknown_0
Elia Kazan,autobiography,written,Elia Kazan wrote his autobiography,unknown_0
Elia Kazan,film director,instance_of,Elia Kazan was a film director,unknown_0
The Visitors,Elia Kazan,directed_by,Elia Kazan directed The Visitors,unknown_0
The Visitors,1972 Cannes Film Festival,entered_into,The Visitors was entered into the 1972 Cannes Film Festival,unknown_0
Elia Kazan,Daniel Lang,used_story,Elia Kazan used Daniel Lang's story as a jumping-off point for The Visitors,unknown_0
